📄 Logging to: output/sun/9+3/log_20260123_211455.txt
Use GPU: 7 for training
Initializing the contect with given words: [a_photo_of_a]
Initial context: "a photo of a"
Number of context words (tokens): 4
=> Model created: visual backbone ViT-B/16
=> Using native Torch AMP. Training in mixed precision.
evaluating: SUN397
number of test samples: 19850
Test: [ 4799/19850]	Time  0.531 ( 0.550)	Acc@1 100.00 ( 69.29)	Acc@5 100.00 ( 91.00)
Test: [ 4899/19850]	Time  0.595 ( 0.550)	Acc@1 100.00 ( 69.24)	Acc@5 100.00 ( 91.00)
Test: [ 4999/19850]	Time  0.532 ( 0.550)	Acc@1 100.00 ( 69.28)	Acc@5 100.00 ( 91.04)
Test: [ 5099/19850]	Time  0.531 ( 0.550)	Acc@1 100.00 ( 69.27)	Acc@5 100.00 ( 91.08)
Test: [ 5199/19850]	Time  0.540 ( 0.550)	Acc@1   0.00 ( 69.25)	Acc@5 100.00 ( 91.04)
Test: [ 5299/19850]	Time  0.537 ( 0.550)	Acc@1 100.00 ( 69.19)	Acc@5 100.00 ( 91.04)
Test: [ 5399/19850]	Time  0.546 ( 0.550)	Acc@1 100.00 ( 69.20)	Acc@5 100.00 ( 91.02)
Test: [ 5499/19850]	Time  0.532 ( 0.549)	Acc@1   0.00 ( 69.13)	Acc@5   0.00 ( 90.95)
Test: [ 5599/19850]	Time  0.539 ( 0.549)	Acc@1 100.00 ( 69.25)	Acc@5 100.00 ( 90.98)
Test: [ 5699/19850]	Time  0.530 ( 0.549)	Acc@1 100.00 ( 69.19)	Acc@5 100.00 ( 90.95)
Test: [ 5799/19850]	Time  0.542 ( 0.549)	Acc@1   0.00 ( 69.14)	Acc@5 100.00 ( 90.97)
Test: [ 5899/19850]	Time  0.539 ( 0.549)	Acc@1 100.00 ( 69.17)	Acc@5 100.00 ( 90.95)
Test: [ 5999/19850]	Time  0.549 ( 0.549)	Acc@1 100.00 ( 69.07)	Acc@5 100.00 ( 90.92)
Test: [ 6099/19850]	Time  0.537 ( 0.549)	Acc@1 100.00 ( 69.08)	Acc@5 100.00 ( 90.95)
Test: [ 6199/19850]	Time  0.540 ( 0.548)	Acc@1 100.00 ( 69.03)	Acc@5 100.00 ( 90.97)
Test: [ 6299/19850]	Time  0.577 ( 0.548)	Acc@1 100.00 ( 69.10)	Acc@5 100.00 ( 91.00)
Test: [ 6399/19850]	Time  0.545 ( 0.548)	Acc@1 100.00 ( 69.06)	Acc@5 100.00 ( 90.95)
Test: [ 6499/19850]	Time  0.540 ( 0.548)	Acc@1 100.00 ( 69.06)	Acc@5 100.00 ( 90.94)
Test: [ 6599/19850]	Time  0.553 ( 0.548)	Acc@1 100.00 ( 68.98)	Acc@5 100.00 ( 90.98)
Test: [ 6699/19850]	Time  0.534 ( 0.548)	Acc@1   0.00 ( 69.03)	Acc@5 100.00 ( 91.00)
Test: [ 6799/19850]	Time  0.560 ( 0.548)	Acc@1 100.00 ( 69.06)	Acc@5 100.00 ( 91.01)
Test: [ 6899/19850]	Time  0.540 ( 0.549)	Acc@1 100.00 ( 69.06)	Acc@5 100.00 ( 91.00)
